username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-06-26 01:50;4;6;"تصميمي #اريا_ستارك #قيم_اوف_ثرونز #AryaStark #GameOfThrones https:// vine.co/v/5uibzj9ApA2";;;# # #AryaStark #GameOfThrones;"746853190696599556";https://twitter.com/i_Rashid91/status/746853190696599556
;2016-06-26 01:45;0;1;"hayaller sansa stark hayatlar arya stark";;;;"746851820300083204";https://twitter.com/mamii64/status/746851820300083204
;2016-06-26 01:24;2;13;""A girl is Arya Stark of Winterfell, and I'm going home" #GameofThrones #artph pic.twitter.com/sKQDbWJdpJ";;;#GameofThrones #artph;"746846446834462724";https://twitter.com/JangEnEm/status/746846446834462724
;2016-06-26 00:54;2;2;"arya stark defense squad";;;;"746839052347908096";https://twitter.com/sharingran/status/746839052347908096
;2016-06-26 00:54;2;3;""All men must die" I am no man - Arya Stark quoting Eowyn";;;;"746838976498143232";https://twitter.com/RomaAJB/status/746838976498143232
;2016-06-26 00:42;0;1;"Arya Stark 'ın Maceraları diye ek bir seri bekliyorum ben. Kızın yaşamadığı şey kalmadı 6 sezondur :)";;;;"746835871110955008";https://twitter.com/ibodirector/status/746835871110955008
;2016-06-26 00:32;0;0;"Too bad Arya Stark got to him.";;;;"746833444307623936";https://twitter.com/DrRealMAD/status/746833444307623936
;2016-06-26 00:20;4;7;"#ifGOTwasinHindi then it would have been Arya stark saying "Baap ka ,bhai ka, Maa ka sabka badla legi re teri Arya ."..";;;#ifGOTwasinHindi;"746830476820680704";https://twitter.com/Bawla_panchi/status/746830476820680704
;2016-06-26 00:09;0;3;"Jamiroquai is always good on a road trip! #LAuberge #LakeCharles #Jamiroquai";;;#LAuberge #LakeCharles #Jamiroquai;"746827768709545984";https://twitter.com/AryaStark/status/746827768709545984
;2016-06-26 00:00;0;1;"LE DOY UN PEQUEÑO AIRE A ARYA STARK JAJAJAJAJA XMISMUERTOS";;;;"746825398114205697";https://twitter.com/Naniu1005/status/746825398114205697
;2016-06-25 23:59;7;2;"@PacoDeMiranda @AryaStark _VE Un sujeto q robó elecc q no es Vzlano x nacimiento violador de DDHH merece ser tumbado x el pueblo";;@PacoDeMiranda @AryaStark;;"746825093460951040";https://twitter.com/JCQuinteroR/status/746825093460951040
;2016-06-25 23:51;0;0;"A girl is Arya Stark of winterfell. https:// twitter.com/Arya_No1/statu s/746821044166598656 …";;;;"746823074188779520";https://twitter.com/iShoobx/status/746823074188779520
;2016-06-25 23:42;0;1;"Arya Stark !";;;;"746820823642701825";https://twitter.com/iKaziWrites/status/746820823642701825
;2016-06-25 23:36;0;0;"I liked a @YouTube video http:// youtu.be/SnQZFoNsJ68?a Maisie Williams (aka Arya Stark ) Pranks Game of Thrones Fans";;@YouTube;;"746819385399058432";https://twitter.com/TheMenaceSP/status/746819385399058432
;2016-06-25 23:29;0;1;"UPDATED: Why All Those Streetwear Fans Are Hating on Arya Stark : Don't they have anything better to do? ​ http:// bit.ly/2918hQK #fashion";;;#fashion;"746817688509419522";https://twitter.com/TheAtticPeople/status/746817688509419522
;2016-06-25 23:27;0;0;"Yo era nadie, jugaba con agujas y valía bolsa en cantidades exorbitantes antes que Arya Stark lo pusiera de moda.";;;;"746817001604190208";https://twitter.com/_garud_a/status/746817001604190208
;2016-06-25 23:26;1;25;"Channeling Arya Stark allllll summer. Need a sword though. pic.twitter.com/HtocE26fQV";;;;"746816983664988161";https://twitter.com/cescadarling/status/746816983664988161
;2016-06-25 23:18;0;1;"https:// m.facebook.com/GameOfThronesR ocks/ … #GameofThrones #aryastark pic.twitter.com/C309N9R9Gw";;;#GameofThrones #aryastark;"746814867638784000";https://twitter.com/michaelpaul7/status/746814867638784000
;2016-06-25 23:08;0;1;"arya stark | what do you want? ↳character development -new watermark :) -sorry for... (Vine by @DIANASCOHAN) https:// vine.co/v/elPzwmQUBQZ";;@DIANASCOHAN;;"746812410875486208";https://twitter.com/UnicornSelderey/status/746812410875486208
;2016-06-25 23:08;3;8;"Ah no lo q quiero a arya stark me dan ganas de tener una hermanita <33";;;;"746812264213319681";https://twitter.com/JipiConOsde/status/746812264213319681
;2016-06-25 22:55;0;1;"@Maisie_Williams is a girl currently in Bristol? And was a girl walking near glos road earlier? I swear I saw Arya Stark earlier";;@Maisie_Williams;;"746808967708479488";https://twitter.com/oliwardfts/status/746808967708479488
;2016-06-25 22:54;0;0;"Mi top de Juego de Tronos (por ahora) despues de 5 capítulos: - Arya Stark -Tyrion Lannister -Jhon Snow Y ya.";;;;"746808721020444672";https://twitter.com/LaZangana_GH/status/746808721020444672
;2016-06-25 22:52;0;1;"#Wakeboarding like I'm blinded #Arya #Stark today when water got in my contact lenses - #agirlhasawakeboard";;;#Wakeboarding #Arya #Stark #agirlhasawakeboard;"746808328597102592";https://twitter.com/ckm_dvm_in_atx/status/746808328597102592
;2016-06-25 22:46;1;3;"I've written this. It's quite shouty and has an Arya Stark type list #Brexit #iameuropean https:// twitter.com/louloudillon/s tatus/746700107827929088 …";;;#Brexit #iameuropean;"746806701190451200";https://twitter.com/armadillosocial/status/746806701190451200
;2016-06-25 22:14;0;1;"Até agora eu gostei da arya stark mas nem vou me apegar vai que ela morre ne, todo mundo morre em game of thrones";;;;"746798625167114240";https://twitter.com/filhadnetuno/status/746798625167114240
;2016-06-25 22:13;0;1;"I just watched S04E01 of Orange Is the New Black while training with Arya Stark and Jon Sn... http://www. tvshowtime.com/show/264586/ep isode/5511598?ref=772e5b1ad8e34a5e81de4f82fc6d0e40 …";;;;"746798430228459521";https://twitter.com/maisiesholland/status/746798430228459521
;2016-06-25 22:09;0;0;"Is it me or does the lyrics of @LbciLebanon 's 'Mch Ana' apply to Arya Stark in Game of Thrones? "Ismi ma 7ada" and "A girl has no name".";;@LbciLebanon;;"746797536610942976";https://twitter.com/Siracharbel99/status/746797536610942976
;2016-06-25 22:07;0;1;"I love this, but Jon and Arya's reunion will outdo it. #JonSnow #AryaStark #GameofThrones https:// youtu.be/lzHj-LrhwBc";;;#JonSnow #AryaStark #GameofThrones;"746797071529816064";https://twitter.com/clarry_8/status/746797071529816064
